metabolite,name,molecular_weight,C_number,N_number,hmdb,inchi,kegg.compound,pubchem.compound,reaction
12ppd_S[e],"(S)-propane-1,2-diol",76.09442,3,0,HMDB06213,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m0/s1",C02917,,EX_12ppd_S(e)
26dap_M[e],"meso-2,6-Diaminoheptanedioate",190.19706,7,2,,,,,EX_26dap_M(e)
2obut[e],2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut(e)
4abut[e],4-Aminobutanoate,103.11976,4,1,HMDB00112,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)",C00334,119,EX_4abut(e)
MGlcn10[e],mucin-type O-glycan No 10,,44,4,,,,,EX_MGlcn10(e)
MGlcn100[e],mucin-type O-glycan No 100,,61,5,,,,,EX_MGlcn100(e)
MGlcn100_rl[e],released mucin-type O-glycan No 100,1607.4538,61,5,,,,,EX_MGlcn100_rl(e)
MGlcn101[e],mucin-type O-glycan No 101,,69,6,,,,,EX_MGlcn101(e)
MGlcn101_rl[e],released mucin-type O-glycan No 101,1810.64632,69,6,,,,,EX_MGlcn101_rl(e)
MGlcn102[e],mucin-type O-glycan No 102,,80,7,,,,,EX_MGlcn102(e)
MGlcn102_rl[e],released mucin-type O-glycan No 102,2100.89296,80,7,,,,,EX_MGlcn102_rl(e)
MGlcn103[e],mucin-type O-glycan No 103,,88,8,,,,,EX_MGlcn103(e)
MGlcn103_rl[e],released mucin-type O-glycan No 103,2304.08548,88,8,,,,,EX_MGlcn103_rl(e)
MGlcn104[e],mucin-type O-glycan No 104,,46,2,,,,,EX_MGlcn104(e)
MGlcn104_rl[e],released mucin-type O-glycan No 104,1219.10392,46,2,,,,,EX_MGlcn104_rl(e)
MGlcn105[e],mucin-type O-glycan No 105,,46,2,,,,,EX_MGlcn105(e)
MGlcn105_rl[e],released mucin-type O-glycan No 105,1219.10392,46,2,,,,,EX_MGlcn105_rl(e)
MGlcn106[e],mucin-type O-glycan No 106,,54,3,,,,,EX_MGlcn106(e)
MGlcn106_rl[e],released mucin-type O-glycan No 106,1422.29644,54,3,,,,,EX_MGlcn106_rl(e)
MGlcn107[e],mucin-type O-glycan No 107,,54,3,,,,,EX_MGlcn107(e)
MGlcn107_rl[e],released mucin-type O-glycan No 107,1422.29644,54,3,,,,,EX_MGlcn107_rl(e)
MGlcn108[e],mucin-type O-glycan No 108,,42,3,,,,,EX_MGlcn108(e)
MGlcn108_rl[e],released mucin-type O-glycan No 108,1098.01524,42,3,,,,,EX_MGlcn108_rl(e)
MGlcn109[e],mucin-type O-glycan No 109,,36,3,,,,,EX_MGlcn109(e)
