abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id
0.000566465256797583,0.006274860624305418,1768,1367,g__Actinomyces,0.7,1200787200
0.06608761329305134,0.07142463744171575,1422,1244,g__Akkermansia,0.7,1200787200
0.021714501510574014,0.023360271409374966,3372,2598,g__Alistipes,0.7,1200787200
0.010574018126888216,0.014986124765251761,1585,1271,g__Anaerostipes,0.7,1200787200
0.5334214501510574,0.34358183161340794,4477,3577,g__Bacteroides,0.7,1200787200
0.025302114803625375,0.028183569603815364,1388,1238,g__Bilophila,0.7,1200787200
0.002643504531722054,0.0073936036361095395,1250,1124,g__Butyricicoccus,0.7,1200787200
0.000566465256797583,0.006203710661848696,2303,1975,g__Campylobacter,0.7,1200787200
0.000377643504531722,0.006110692533793264,2412,1936,g__Collinsella,0.7,1200787200
0.06363293051359516,0.07884602103724918,1398,1229,g__Dialister,0.7,1200787200
0.11725830815709967,0.06935486415985001,2503,1860,g__Faecalibacterium,0.7,1200787200
0.000188821752265861,0.0,831,833,g__Fenollaria,0.7,1200787200
0.008685800604229606,0.013144269173750358,1066,980,g__Fusicatenibacter,0.7,1200787200
0.00188821752265861,0.02988750398728861,849,841,g__Holdemanella,0.7,1200787200
0.004342900302114803,0.009066759828331297,2218,1849,g__Lachnospira,0.7,1200787200
0.023980362537764345,0.024086832937844905,3782,3138,g__Parabacteroides,0.7,1200787200
0.005287009063444108,0.009671396997483851,1317,1191,g__Phascolarctobacterium,0.7,1200787200
0.000944108761329305,0.006534262130384567,1244,1098,g__Romboutsia,0.7,1200787200
0.000566465256797583,0.006086270265510666,3610,2750,g__Streptococcus,0.7,1200787200
0.111404833836858,0.06323620597413006,1238,1079,g__Subdoligranulum,0.7,1200787200
0.000566465256797583,0.006063911404727447,1149,1005,g__Tyzzerella,0.7,1200787200
0.04337993421052632,0.038772037693629066,1422,1244,g__Akkermansia,0.7,1200960000
0.03289473684210526,0.02369203233874127,3372,2598,g__Alistipes,0.7,1200960000
